platform,post_id,content_type,date_posted,likes,comments,shares,saves,retweets,clicks,views,impressions,reach,followers_at_time,demographic_segment,location,device_type,campaign_name,ad_spend,boosted,caption_text,hashtags,link_clicked,video_duration,engagement,engagement_rate,click_through_rate,conversion_rate
Facebook,POST00044,reel,2024-01-02 20:00:00,45,15,6,3,5,17,146,13757,1101,60131,45-54,US,tablet,Brand Awareness,412.94,False,Treat way heavy marriage beat clear true about.,"#music, #thousand",False,39.5,66,0.004797557607036418,0.001235734535145744,0.0
Facebook,POST00045,text,2024-01-02 21:00:00,55,8,3,5,3,20,8872,13342,5305,12493,18-24,Nigeria,tablet,New Product Launch,331.31,False,Audience home participant brother.,"#identify, #firm",False,40.8,66,0.004946784590016489,0.00149902563333833,0.0
Facebook,POST00046,reel,2024-01-02 22:00:00,52,13,4,3,4,24,6486,3063,1797,63529,25-34,UK,tablet,New Product Launch,301.84,True,Cultural information road walk.,"#adult, #around",True,123.6,69,0.022526934378060724,0.007835455435847209,0.041666666666666664
LinkedIn,POST00047,reel,2024-01-02 23:00:00,53,7,8,1,1,17,8747,7597,9809,72110,45-54,Nigeria,desktop,Summer Sale,294.39,False,Perform fill lot free trade.,"#impact, #apply",True,58.1,68,0.008950901671712518,0.0022377254179281295,0.058823529411764705
Instagram,POST00048,image,2024-01-03 00:00:00,55,10,6,0,5,26,3079,15995,16086,12941,45-54,UK,desktop,Brand Awareness,59.47,True,Most administration dream table.,"#yard, #form",False,177.5,71,0.004438887152235073,0.0016255079712410127,0.0
Instagram,POST00049,video,2024-01-03 01:00:00,43,10,5,1,3,23,2330,14844,16711,44562,45-54,Nigeria,tablet,Summer Sale,320.97,False,Capital happy model talk will sell I.,"#grow, #church",False,52.2,58,0.003907302613850714,0.0015494475882511453,0.0
LinkedIn,POST00050,video,2024-01-03 02:00:00,55,15,6,3,0,14,5544,16756,5332,57566,35-44,Germany,mobile,New Product Launch,199.39,True,Life item necessary structure computer watch few.,"#board, #couple",False,98.6,76,0.00453568870852232,0.0008355216042014801,0.0
Instagram,POST00051,image,2024-01-03 03:00:00,44,9,4,3,2,22,9899,15199,4883,55136,35-44,Nigeria,tablet,Summer Sale,31.63,True,Get response special less level cost.,"#themselves, #whose",False,13.2,57,0.0037502467267583393,0.0014474636489242713,0.0
LinkedIn,POST00052,video,2024-01-03 04:00:00,45,10,5,3,4,25,8994,17335,11491,50917,25-34,Nigeria,desktop,Holiday Promo,102.63,False,National teach cell mention prevent.,"#same, #fall",False,97.0,60,0.003461205653302567,0.001442169022209403,0.0
Facebook,POST00053,reel,2024-01-03 05:00:00,36,10,14,1,3,20,2785,19715,13989,53568,25-34,India,mobile,Holiday Promo,221.29,False,Number figure term degree.,"#perform, #choose",False,82.9,60,0.003043367993913264,0.001014455997971088,0.0
LinkedIn,POST00054,text,2024-01-03 06:00:00,55,10,4,4,4,22,1364,19436,2310,95844,18-24,Nigeria,tablet,New Product Launch,496.49,False,Study rock just list card along.,"#pretty, #try",True,62.9,69,0.003550113192014818,0.0011319201481786376,0.045454545454545456
Facebook,POST00055,image,2024-01-03 07:00:00,54,7,6,1,3,21,8924,18591,3692,69089,55+,Germany,tablet,Holiday Promo,215.33,False,Young house wish front debate door final without.,"#artist, #space",False,77.3,67,0.0036038943574848046,0.0011295788284653866,0.0
Facebook,POST00056,text,2024-01-03 08:00:00,63,13,2,2,6,24,2442,7394,12639,2580,18-24,UK,mobile,Holiday Promo,74.89,True,South mouth must nor.,"#medical, #deal",True,32.1,78,0.010549093859886394,0.0032458750338111983,0.041666666666666664
Twitter,POST00057,video,2024-01-03 09:00:00,43,11,5,7,3,13,6856,8817,8080,71117,55+,US,desktop,Summer Sale,450.85,True,Interview member exist such financial follow result.,"#heart, #son",False,147.6,59,0.006691618464330271,0.0014744244073948054,0.0
LinkedIn,POST00058,text,2024-01-03 10:00:00,55,12,5,0,9,21,5625,15714,9223,19942,45-54,US,desktop,Holiday Promo,17.62,True,For skill spring leader drug than purpose.,"#late, #pick",True,165.9,72,0.004581901489117984,0.0013363879343260786,0.047619047619047616
Twitter,POST00059,video,2024-01-03 11:00:00,50,9,4,1,2,18,8349,11739,14885,59350,45-54,US,tablet,Brand Awareness,63.36,False,Safe national instead what.,"#during, #exactly",False,150.7,63,0.005366726296958855,0.001533350370559673,0.0
LinkedIn,POST00060,video,2024-01-03 12:00:00,47,11,3,1,4,18,3708,16112,5840,17394,18-24,US,desktop,New Product Launch,236.86,True,Away trouble bar that and table.,"#media, #court",True,144.9,61,0.003785998013902681,0.0011171797418073487,0.05555555555555555
LinkedIn,POST00061,reel,2024-01-03 13:00:00,52,6,6,3,2,17,7466,16245,9471,8578,35-44,UK,tablet,Brand Awareness,46.39,True,Gas next hand scientist offer operation available.,"#create, #others",False,98.7,64,0.003939673745767929,0.001046475838719606,0.0
Twitter,POST00062,video,2024-01-03 14:00:00,45,11,5,3,1,18,5221,14031,14018,50012,35-44,UK,tablet,Brand Awareness,285.79,False,Smile pattern say speak.,"#somebody, #report",True,60.1,61,0.004347516214097356,0.0012828736369467607,0.05555555555555555
Twitter,POST00063,reel,2024-01-03 15:00:00,60,12,7,2,4,11,9650,18340,4720,38307,25-34,US,tablet,Summer Sale,78.88,False,Know activity that politics trip enough friend.,"#current, #charge",True,30.9,79,0.00430752453653217,0.0005997818974918212,0.09090909090909091
LinkedIn,POST00064,reel,2024-01-03 16:00:00,56,7,8,4,12,15,2641,5095,880,69003,25-34,Nigeria,tablet,Holiday Promo,325.43,False,Experience maintain five candidate service game process.,"#cause, #letter",True,147.6,71,0.01393523061825319,0.002944062806673209,0.06666666666666667
Instagram,POST00065,reel,2024-01-03 17:00:00,53,10,6,3,4,19,8408,8914,2445,5024,18-24,Nigeria,mobile,New Product Launch,58.83,False,Describe line will may staff.,"#represent, #however",True,7.8,69,0.007740632712586942,0.0021314785730311868,0.05263157894736842
Facebook,POST00066,image,2024-01-03 18:00:00,54,8,5,1,4,18,2490,4231,5286,32500,35-44,India,tablet,Summer Sale,405.05,True,Identify same through fill will around protect strategy.,"#exactly, #finally",True,32.6,67,0.015835499881824627,0.004254313401087214,0.05555555555555555
Twitter,POST00067,image,2024-01-03 19:00:00,49,6,8,2,4,19,1701,12657,16869,14934,45-54,UK,mobile,Holiday Promo,366.92,True,Local growth imagine rate program.,"#future, #several",True,72.3,63,0.0049774828158331355,0.001501145611124279,0.05263157894736842
Facebook,POST00068,video,2024-01-03 20:00:00,64,13,9,3,4,16,388,7726,2066,6531,45-54,India,tablet,Brand Awareness,462.7,False,Social sometimes time south already military trouble next.,"#skin, #rate",False,35.0,86,0.011131245146259384,0.0020709293295366298,0.0
Instagram,POST00069,reel,2024-01-03 21:00:00,58,5,3,3,2,25,8629,19090,14425,5191,35-44,Germany,mobile,New Product Launch,34.21,False,Attack maybe other stay study.,"#game, #debate",True,104.9,66,0.0034573074908328966,0.0013095861707700367,0.04
Instagram,POST00070,image,2024-01-03 22:00:00,49,11,5,4,4,22,5340,17527,13018,56237,18-24,UK,mobile,Summer Sale,277.65,True,Tonight price late sing.,"#police, #someone",True,130.4,65,0.003708563929936669,0.0012552062532093342,0.045454545454545456
Instagram,POST00071,reel,2024-01-03 23:00:00,46,10,2,5,5,14,9167,11662,3321,16762,25-34,US,tablet,Brand Awareness,354.43,False,See able create check return.,"#thing, #understand",False,163.6,58,0.004973417938604013,0.0012004801920768306,0.0
Twitter,POST00072,text,2024-01-04 00:00:00,35,12,6,3,6,14,7402,16239,6282,7670,18-24,US,mobile,Brand Awareness,451.33,False,Itself begin store painting.,"#north, #sea",True,37.9,53,0.0032637477677196873,0.0008621220518504834,0.07142857142857142
Instagram,POST00073,text,2024-01-04 01:00:00,63,18,9,4,3,20,7995,18610,3944,40254,35-44,India,mobile,Summer Sale,241.03,True,Million yeah must there.,"#south, #production",True,50.3,90,0.004836109618484685,0.0010746910263299302,0.05
Twitter,POST00074,text,2024-01-04 02:00:00,56,7,5,2,2,24,4699,13010,8684,4183,18-24,UK,desktop,Brand Awareness,475.66,True,Carry down however PM suddenly develop tough month.,"#bit, #safe",False,129.0,68,0.005226748654880861,0.0018447348193697155,0.0
Instagram,POST00075,video,2024-01-04 03:00:00,53,10,7,5,6,20,1390,16314,1734,87551,35-44,Nigeria,tablet,Holiday Promo,61.24,True,Surface bank book bag speak talk.,"#available, #left",True,39.1,70,0.004290793183768542,0.001225940909648155,0.05
Facebook,POST00076,reel,2024-01-04 04:00:00,42,14,7,1,2,20,7925,14746,10733,50205,18-24,UK,desktop,Brand Awareness,216.61,True,Two and fact within thank culture only.,"#day, #market",False,69.1,63,0.00427234504272345,0.001356300013563,0.0
Facebook,POST00077,text,2024-01-04 05:00:00,37,13,3,4,6,23,7652,13109,8808,43551,55+,India,tablet,Summer Sale,126.59,True,Plan expert very style month pull.,"#last, #catch",True,135.6,53,0.004043023876725914,0.001754519795560302,0.043478260869565216
LinkedIn,POST00078,image,2024-01-04 06:00:00,53,13,5,2,3,22,5340,12609,15861,10449,45-54,India,mobile,Holiday Promo,77.69,True,Try significant son country town.,"#together, #though",False,67.7,71,0.005630898564517408,0.0017447854706955348,0.0
Facebook,POST00079,text,2024-01-04 07:00:00,57,14,5,4,7,25,2136,13662,14211,37599,55+,US,tablet,Summer Sale,143.39,True,Star each avoid boy.,"#themselves, #again",False,26.3,76,0.005562875128092519,0.0018298931342409603,0.0
LinkedIn,POST00080,text,2024-01-04 08:00:00,40,10,4,2,4,22,4452,7969,13781,80278,35-44,US,mobile,Holiday Promo,332.36,False,Writer though case item particularly various.,"#general, #serve",False,48.5,54,0.006776257999749027,0.0027606977036014556,0.0
Facebook,POST00081,text,2024-01-04 09:00:00,46,10,5,4,3,22,9086,6809,16873,13547,45-54,Germany,tablet,Brand Awareness,241.6,False,Beautiful operation together generation teach by much.,"#card, #between",True,14.6,61,0.00895873109120282,0.0032310177705977385,0.045454545454545456
Twitter,POST00082,video,2024-01-04 10:00:00,50,24,4,2,2,35,8538,4534,13730,23689,55+,India,desktop,Summer Sale,90.77,True,Already focus little.,"#probably, #real",True,121.4,78,0.017203352448169385,0.007719453021614468,0.02857142857142857
Facebook,POST00083,image,2024-01-04 11:00:00,47,12,8,2,4,17,8876,2704,16615,38042,18-24,Germany,desktop,Brand Awareness,15.86,True,Partner next top although she.,"#participant, #machine",False,8.2,67,0.02477810650887574,0.00628698224852071,0.0
LinkedIn,POST00084,reel,2024-01-04 12:00:00,46,16,7,5,1,19,7231,13740,4119,77006,18-24,Germany,tablet,Holiday Promo,461.75,True,Sign never although process offer part.,"#team, #source",True,103.3,69,0.005021834061135371,0.0013828238719068413,0.05263157894736842
LinkedIn,POST00085,image,2024-01-04 13:00:00,66,11,6,1,8,14,8111,14499,2524,76546,45-54,US,tablet,New Product Launch,157.07,True,Painting manage simply take performance push issue.,"#lay, #beautiful",False,171.0,83,0.0057245327263949234,0.0009655838333678184,0.0
Instagram,POST00086,reel,2024-01-04 14:00:00,47,14,7,3,2,22,7587,19948,2069,57298,35-44,Nigeria,mobile,Holiday Promo,63.79,False,From board hospital yeah.,"#smile, #first",False,154.8,68,0.003408863043914177,0.0011028674553839983,0.0
Twitter,POST00087,video,2024-01-04 15:00:00,64,12,10,5,2,25,2867,17072,13334,85718,55+,US,desktop,Brand Awareness,73.07,True,Prove plant put conference society accept.,"#whole, #official",True,13.1,86,0.005037488284910965,0.001464386129334583,0.04
Facebook,POST00088,video,2024-01-04 16:00:00,39,13,4,2,5,23,7124,9142,3261,66205,35-44,UK,desktop,Summer Sale,126.71,False,Until address happy impact should commercial science.,"#third, #push",True,128.6,56,0.006125574272588055,0.0025158608619558083,0.043478260869565216
Instagram,POST00089,video,2024-01-04 17:00:00,51,10,9,4,1,18,5162,13987,4880,47991,18-24,Nigeria,mobile,Holiday Promo,115.41,True,Mission measure bag decision career fast defense.,"#Mrs, #around",False,124.2,70,0.0050046471723743475,0.0012869092728962609,0.0
Facebook,POST00090,video,2024-01-04 18:00:00,43,8,9,2,5,21,8029,8657,13968,16967,25-34,India,desktop,Summer Sale,139.78,True,Available this same space movement reflect.,"#cup, #development",False,53.7,60,0.006930807439066651,0.002425782603673328,0.0
Facebook,POST00091,reel,2024-01-04 19:00:00,54,9,9,2,5,24,2076,5701,9142,38432,25-34,Nigeria,mobile,Brand Awareness,112.75,True,Ask according season television company beyond media.,"#by, #edge",False,19.7,72,0.012629363269601825,0.004209787756533942,0.0
Instagram,POST00092,text,2024-01-04 20:00:00,59,22,3,1,3,26,4364,7990,14992,46114,35-44,India,desktop,Brand Awareness,215.32,False,New mention less none take star.,"#subject, #coach",True,153.7,84,0.010513141426783479,0.003254067584480601,0.038461538461538464
Instagram,POST00093,reel,2024-01-04 21:00:00,49,15,3,6,1,24,3763,3952,14696,12560,18-24,India,mobile,Brand Awareness,382.8,False,Billion rather one begin.,"#wonder, #seven",True,99.8,67,0.01695344129554656,0.006072874493927126,0.041666666666666664
Instagram,POST00094,image,2024-01-04 22:00:00,42,11,8,2,4,16,1427,18689,2206,59028,18-24,Germany,desktop,Holiday Promo,13.59,False,Republican agreement keep before mission baby.,"#admit, #against",False,125.7,61,0.003263952057359944,0.0008561185724222805,0.0
Instagram,POST00095,video,2024-01-04 23:00:00,42,9,6,3,5,16,8973,16418,4086,91978,25-34,UK,tablet,New Product Launch,95.23,True,Room there make realize.,"#lead, #food",False,82.4,57,0.0034717992447313925,0.0009745401388719698,0.0
Instagram,POST00096,video,2024-01-05 00:00:00,44,9,9,4,3,22,2603,8014,16183,29740,25-34,US,tablet,Summer Sale,355.99,False,Available ground draw specific.,"#difficult, #risk",False,40.0,62,0.007736461192912403,0.0027451959071624656,0.0
Facebook,POST00097,image,2024-01-05 01:00:00,42,5,2,3,4,17,8155,18353,14787,86398,55+,Germany,tablet,New Product Launch,74.44,True,Strategy ok community here particular.,"#most, #brother",True,46.9,49,0.002669863237617828,0.0009262790824388383,0.058823529411764705
Instagram,POST00098,reel,2024-01-05 02:00:00,55,9,6,3,4,19,1474,14573,315,26773,55+,Germany,tablet,Summer Sale,370.66,False,Public hold shake yourself.,"#road, #seat",True,96.3,70,0.00480340355451863,0.001303780964797914,0.05263157894736842
Twitter,POST00099,text,2024-01-05 03:00:00,50,11,2,3,4,25,7378,9109,5499,48460,25-34,UK,tablet,New Product Launch,257.4,True,Short stuff ground.,"#will, #free",True,42.2,63,0.006916236688988912,0.0027445383686463937,0.04
LinkedIn,POST00100,text,2024-01-05 04:00:00,38,10,9,4,8,17,6847,19730,5691,37734,35-44,US,desktop,Holiday Promo,440.81,True,Scene similar cost natural occur.,"#large, #TV",True,71.8,57,0.002889001520527116,0.0008616320324379118,0.058823529411764705
Instagram,POST00101,image,2024-01-05 05:00:00,44,8,6,4,4,26,2420,9166,15519,10779,45-54,Germany,tablet,Holiday Promo,5.08,True,Recent wear food try.,"#may, #nothing",False,13.4,58,0.006327732926030984,0.002836569932358717,0.0
Instagram,POST00102,text,2024-01-05 06:00:00,39,14,1,3,4,27,8978,4640,7326,49333,18-24,Nigeria,desktop,Brand Awareness,392.18,False,Guy college would cell memory.,"#watch, #agreement",True,179.2,54,0.01163793103448276,0.00581896551724138,0.037037037037037035
Facebook,POST00103,reel,2024-01-05 07:00:00,50,7,3,6,9,22,6529,10896,11647,91996,18-24,US,desktop,New Product Launch,286.11,False,Author through education back.,"#community, #near",False,111.0,60,0.005506607929515419,0.0020190895741556535,0.0
Instagram,POST00104,reel,2024-01-05 08:00:00,44,15,4,3,3,28,855,11664,1465,4104,18-24,UK,tablet,Holiday Promo,234.44,False,Play three however consumer weight side.,"#born, #later",True,26.3,63,0.005401234567901234,0.0024005486968449933,0.03571428571428571
Instagram,POST00105,image,2024-01-05 09:00:00,48,15,4,2,4,22,2156,1714,3049,50130,55+,Nigeria,tablet,Brand Awareness,72.86,True,Child bring alone everyone.,"#subject, #hope",False,23.4,67,0.039089848308051345,0.012835472578763127,0.0
Instagram,POST00106,reel,2024-01-05 10:00:00,52,17,6,2,5,17,3216,2533,7173,61344,25-34,Nigeria,mobile,Summer Sale,117.03,False,Thing particularly onto machine court both audience.,"#cost, #bed",False,87.0,75,0.029609159099881564,0.006711409395973154,0.0
